Records: ,14994
Datetime Range
2013-04-01 00:04:00,2013-05-01 00:21:00
Area Range
Min Lat,Min Lon,,Max Lat,Max Lon
40.395576,-74.469818,,41.453693,-71.307167
Avg Odometer Distance: ,2.8849606509270425
Avg Haversine Distance: ,9.285493964771108
Avg Pickup,,,Avg Dropoff
40.7513104926158,-73.97542457172895,,40.751545090102354,-73.97406822401352
Avg Odometer Distance (No Outliers): ,1.9917101577473055
Avg Haversine Distance (No Outliers): ,1.530786923962537
Distance Histogram
0.0,0.25,0.5,0.75,1.0,1.25,1.5,1.75,2.0,2.25,2.5,2.75,3.0,3.25,3.5,3.75,4.0,4.25,4.5,4.75,5.0,5.25,5.5,5.75,6.0,6.25,6.5,6.75,7.0,7.25,7.5,7.75,8.0,8.25,8.5,8.75,9.0,9.25,9.5,9.75,10.0,10.25,10.5,10.75,11.0,11.25,11.5,11.75,12.0,12.25,12.5,12.75,13.0,13.25,13.5,13.75,14.0,14.25,14.5,14.75,15.0
239,392,1269,1338,1626,1190,1287,880,889,601,645,492,477,291,349,235,251,188,166,141,159,108,129,77,80,79,79,63,69,34,54,44,45,33,61,48,63,43,54,40,34,25,32,22,39,25,30,19,21,16,17,16,16,11,10,6,10,7,10,10,310
Distance Q1,Distance Q3
1.078490159901599,3.2083333333333335
Haversine Histogram
0.0,0.25,0.5,0.75,1.0,1.25,1.5,1.75,2.0,2.25,2.5,2.75,3.0,3.25,3.5,3.75,4.0,4.25,4.5,4.75,5.0,5.25,5.5,5.75,6.0,6.25,6.5,6.75,7.0,7.25,7.5,7.75,8.0,8.25,8.5,8.75,9.0,9.25,9.5,9.75,10.0,10.25,10.5,10.75,11.0,11.25,11.5,11.75,12.0,12.25,12.5,12.75,13.0,13.25,13.5,13.75,14.0,14.25,14.5,14.75,15.0
591,991,1896,1865,1528,1323,1047,847,675,540,435,419,318,283,211,175,191,138,112,114,104,94,106,90,86,71,66,45,34,34,27,24,26,24,28,22,16,13,16,12,15,14,12,7,10,9,23,13,25,38,39,28,28,22,15,5,10,6,5,1,32
Haversine Q1,Haversine Q3
0.786260053619303,2.4733796296296298
Odometer Distance Range
0.0,47.19
Haversine Distance Range
0.0,5382.157960405212
Travel Time Range
0,6000
Passengers Per Hour
00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
32.56666666666667,23.533333333333335,17.666666666666668,11.066666666666666,10.266666666666667,7.866666666666666,17.166666666666668,31.133333333333333,41.96666666666667,36.56666666666667,40.56666666666667,40.6,41.9,39.233333333333334,40.233333333333334,42.36666666666667,36.96666666666667,43.86666666666667,52.93333333333333,51.666666666666664,50.4,50.833333333333336,47.233333333333334,41.06666666666667
Vendor IDs
CMT,VTS
7586,7408
Rate Codes
0,1,2,3,4,5
1,14679,250,17,16,31
Store and Forward Flags
N,NULL,Y
7478,7409,107
Passenger Counts
1,2,3,4,5,6
10629,1980,635,313,878,559
